B,D,X4,Z,lengths,slacks,e_lo,e_hi,verdict,alive_e,n_alive,minimal_rules,deciding_rule,deciding_numbers,deciding_e,witness
3,0,2,1,"870,871","0,1",0,24,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 12,1,e=1 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|1
3,0,3,0,"870,871","0,1",0,23,empty,,0,R1+R2+R4+R3+R6+R7+R10,R10,Fp+S5 = 24  >  4Rcap = 16,0,e=0 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|0
3,5,0,2,"870,871","0,1",0,26,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,26,e=26 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|2
3,5,1,1,"870,871","0,1",0,25,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,25,e=25 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|1
3,5,2,0,"870,871","0,1",0,24,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,24,e=24 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|0
3,10,0,1,"870,871","0,1",0,26,empty,,0,R1+R2+R4+R3+R7+R9a+R13c,R13c,"P = 26  >  F(NCh=26,D=10) = unrealisable",26,e=26 Q2=0 Ncyc=0 S5=10 S4=0 Fp=16 NCh=26 cnl=25 hits=25 PEN=0 P=26 pools=0|0|0|0|1
3,10,1,0,"870,871","0,1",0,25,empty,,0,R1+R2+R4+R3+R6+R7+R9a+R11b+R13,R13,"P = 26  >  Fs(NCh=12,D=10,PEN=10) = 18",10,e=10 Q2=0 Ncyc=10 S5=10 S4=0 Fp=16 NCh=12 cnl=10 hits=10 PEN=10 P=26 pools=0|0|0|0|0
3,15,0,0,"870,871","0,1",0,26,empty,,0,R1+R2+R4+R3+R7+R9a+R11b+R14+R13r,R13r,"P = 27  >  Fr(NCh=16,S5=15,S4=0) = 19",15,e=15 Q2=0 Ncyc=15 S5=15 S4=0 Fp=12 NCh=16 cnl=15 hits=15 PEN=15 P=27 pools=0|0|0|0|0
4,0,0,4,871,0,0,27,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 4,4,e=4 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|4
4,0,1,3,871,0,0,26,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 8,3,e=3 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|3
4,0,2,2,871,0,0,25,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 12,2,e=2 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|2
4,0,3,1,871,0,0,24,empty,,0,R1+R2+R4+R3+R7+R8a+R10,R10,Fp+S5 = 24  >  4Rcap = 16,1,e=1 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|1
4,0,4,0,871,0,0,23,empty,,0,R1+R2+R4+R3+R6+R7+R10,R10,Fp+S5 = 24  >  4Rcap = 20,0,e=0 Q2=0 Ncyc=0 S5=0 S4=0 Fp=24 NCh=24 cnl=0 hits=0 PEN=0 P=24 pools=0|0|0|0|0
4,5,0,3,871,0,0,27,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,27,e=27 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|3
4,5,1,2,871,0,0,26,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,26,e=26 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|2
4,5,2,1,871,0,0,25,empty,,0,R1+R2+R4+R3+R7+R9a+R12,R12,P-2D = 15  >  4NCh-2(SH+ST)-PEN = 4,25,e=25 Q2=0 Ncyc=0 S5=5 S4=0 Fp=20 NCh=25 cnl=24 hits=24 PEN=0 P=25 pools=0|0|0|0|1
4,5,3,0,871,0,0,24,empty,,0,R1+R2+R4+R3+R6+R7+R9a+R11b+R12+R13c,R13c,"P = 25  >  F(NCh=5,D=5) = 23",1,e=1 Q2=0 Ncyc=1 S5=5 S4=0 Fp=20 NCh=5 cnl=1 hits=1 PEN=1 P=25 pools=0|0|0|0|0
4,10,0,2,871,0,0,27,empty,,0,R1+R2+R4+R3+R7+R9a+R11b+R13+R14,R14,"pack 26 paths (S5=10,S4=0,Fp=16) into Ncomp = 21 : infeasible",7,e=7 Q2=0 Ncyc=0 S5=10 S4=0 Fp=16 NCh=8 cnl=7 hits=5 PEN=0 P=26 pools=0|0|2|0|0
4,10,1,1,871,0,0,26,empty,,0,R1+R2+R4+R3+R7+R9a+R11b+R14+R13r,R13r,"P = 26  >  Fr(NCh=12,S5=10,S4=0) = 18",11,e=11 Q2=1 Ncyc=10 S5=10 S4=0 Fp=16 NCh=12 cnl=10 hits=10 PEN=10 P=26 pools=0|0|0|1|0
4,10,2,0,871,0,0,25,alive,0 2,2,,,,,
4,15,0,1,871,0,0,27,alive,2,1,,,,,
4,15,1,0,871,0,0,26,alive,0 1 2 3 4 7,6,,,,,
4,20,0,0,871,0,0,27,alive,1 2 3 4 5 6 7 8 9,9,,,,,
